
2024/08/24 (16:42:25) | ===> btop++ v.1.3.2
2024/08/24 (16:42:25) | INFO: Logger set to INFO
2024/08/24 (16:42:27) | INFO: Logger set to DEBUG

2024/09/22 (02:03:42) | ===> btop++ v.1.3.2
2024/09/22 (02:03:42) | ERROR: failed getting network interfaces

2025/04/13 (09:38:41) | ===> btop++ v.1.4.0
2025/04/13 (09:38:41) | INFO: Logger set to INFO
2025/04/13 (09:38:41) | INFO: Logger set to DEBUG
2025/04/13 (09:38:44) | INFO: Logger set to INFO
2025/04/13 (09:38:52) | INFO: Logger set to INFO
2025/04/13 (09:38:52) | INFO: Logger set to DEBUG
